docId,filename,0 lb term persname,1 lb choice rend,2 lb add del,3 seg rend fw,4 xml facs lry,5 lb term type,6 lb placename reg,7 choice expan abbr,8 seg rend date,9 lb xml id
534,liv_001873_TEI.xml,0.05396199555990069,5.7269951622673725E-5,4.3735240241703166E-5,0.18469563235995312,1.580451744528534E-6,1.3672386240965562E-4,0.36340480647053824,1.3530368448193665E-4,0.11313150789077564,0.2844314445283317
535,liv_001875_TEI.xml,0.17287382687298075,7.257036075482286E-5,5.541967597511771E-5,2.718821848155077E-4,2.0026898924534172E-6,0.04003223968694342,0.2590436247636834,0.04864859971697565,7.915130266636485E-5,0.4789206827453124
536,liv_001879_TEI.xml,0.15192143282533332,5.547771941553299E-5,4.236656951774912E-5,2.0784523332102096E-4,1.5309923607134729E-6,0.1450752070161596,0.27050194576799985,0.0791907577123033,6.0508638995661774E-5,0.3529429275245931
537,liv_001885_TEI.xml,0.12478906634749123,7.678921941450181E-5,0.0023384349964324087,0.057282525791084046,2.1191157377647496E-6,1.8332333749722566E-4,0.4006315970626782,0.008160696414628863,0.0023635462549421176,0.40417190146009363
538,liv_001891_TEI.xml,0.01836482160825241,3.809654217589241E-5,0.007380901448209005,0.04142595868893781,1.0513322403184364E-6,0.22403834230657357,0.20045726504842207,0.33601109370589927,4.155127394906326E-5,0.17224091804534059
539,liv_001893_TEI.xml,0.047853653567321,7.08902657819453E-5,0.01583908366022931,2.655877708540456E-4,1.956325106808886E-6,0.04436709207902154,0.14255181045250453,0.40215746658346074,0.0011296486519143199,0.3457628106438057
540,liv_001895_TEI.xml,0.10185993997413331,4.919770799801975E-5,3.7570724571429306E-5,0.018442188814129415,1.3576858584509774E-6,0.33971386079934435,0.31364324986970227,1.1623252633520808E-4,5.365913350491246E-5,0.22608274276442258
541,liv_001897_TEI.xml,0.08514742022259485,1.0931052851775318E-4,8.347697335540872E-5,0.04746663844954099,3.016590910176738E-6,0.07652593565398787,0.03320456114900088,2.5825265854187077E-4,0.017968472041526677,0.7392329157320235
542,liv_001899_TEI.xml,0.14617723022543844,1.41739896326621E-4,1.0824224994149663E-4,5.310233032876886E-4,3.9115288222107175E-6,3.3838383889340254E-4,9.742952373892773E-4,0.010855150944859174,1.5459338106297028E-4,0.8407154293939787
543,liv_001900_TEI.xml,0.15047090619045708,0.0017751771205773725,0.021706374437399048,0.023703698969209607,3.0918460877158925E-6,0.0019306132255207352,0.03902233729922488,0.0019278349239465935,0.013427314369790567,0.7460326516177864
544,liv_001903_TEI.xml,0.13746937031948317,7.950815194934376E-5,6.0717846412527606E-5,0.01564122734275136,2.1941488318427458E-6,0.1099538010955365,0.1339156702415901,1.8784276222152054E-4,0.009528781609250817,0.5931608864819728
545,liv_001909_TEI.xml,0.1418588407965299,5.918184731621793E-5,4.519529416361234E-5,0.009006965683128402,1.6332134249316692E-6,0.18902401426786913,0.18928953168581406,0.0010183449594567979,6.454867056685051E-5,0.46963174358173
546,liv_001911_TEI.xml,0.0010889910346247266,1.5476529244758924E-4,0.02309230681365119,5.798224703115474E-4,4.270984513009822E-6,3.6948011916980244E-4,0.02174053526511538,3.656422557513179E-4,1.6879996705753607E-4,0.9524353857973579
547,liv_001913_TEI.xml,0.002822296726749535,1.289845320501043E-4,9.850138400399101E-5,4.8323580062756754E-4,3.5595250723954906E-6,0.11901992264809574,0.020033712326173618,3.047336680593268E-4,0.01545835749848542,0.8416466958906823
548,liv_001918_TEI.xml,0.012211341542360336,1.502770646284735E-4,1.1476181379804353E-4,5.630074900259515E-4,4.1471250145192625E-6,0.04720527736903461,0.009956123429447171,0.0873557041661909,1.6390473056082595E-4,0.8422754552689391
549,liv_001921_TEI.xml,0.08746085268622747,1.0620840802080642E-4,0.003234327163694578,0.02089383056750625,2.930983159301737E-6,0.05070506436248952,0.02280259227372745,0.004980752485035408,0.05056734666661507,0.7592460944035241
550,liv_001922_TEI.xml,0.09017746133084797,0.0021166436962196692,1.0201739003171246E-4,5.004848982417542E-4,3.6865822882602044E-6,3.189238591351762E-4,9.182648854075316E-4,0.05782420794448018,1.457029326417947E-4,0.847892606480706
551,liv_001924_TEI.xml,0.08040171163274204,0.002020482235598557,9.738262734032321E-5,0.006156635359553416,3.5190967836511034E-6,0.10631034493100634,0.006555435140529611,0.03437460082896806,1.390834875057814E-4,0.7639408046599722
552,liv_001926_TEI.xml,0.27454688775812885,0.034851002116505374,7.15230489898623E-5,0.02120529030328688,2.584614304741856E-6,0.12674032869714932,0.0020340772166477306,2.2127081045464873E-4,1.021504077497596E-4,0.5402248850267828
553,liv_001928_TEI.xml,0.10854699241265021,0.011661899971999385,9.888003710133882E-5,0.03123821237428052,3.5732083846390536E-6,3.091159557599498E-4,8.900253761611473E-4,0.002227975041129843,1.4122211302324076E-4,0.8448821035095097
554,liv_001929_TEI.xml,0.001637290806019259,7.482742209305402E-5,5.714332191982144E-5,0.020274285959831058,2.0649769457587508E-6,0.07015745704780062,0.16046593282424,0.34673854574011126,0.0034139376720975475,0.3971785142289416
555,liv_001930_TEI.xml,0.19279893134417628,0.05250939370986471,5.993965957430045E-5,0.0037894503121701033,2.166027647661562E-6,0.0036827752945812232,0.15200657825689895,0.00368082892407881,8.560681839450706E-5,0.5913843296526134
556,liv_001935_TEI.xml,0.09455964045977693,6.156151183550757E-5,4.70125682575647E-5,2.3063793764138343E-4,1.698883900186881E-6,0.14179359719797693,0.18227915622682458,0.25693707129878723,6.71441316428544E-5,0.3240224797833567
557,liv_001936_TEI.xml,0.0656594814885426,1.246872156639663E-4,9.521966018168654E-5,4.671360629970221E-4,3.4409340663473213E-6,0.07248347714757393,0.0045589142060532975,0.03916386016313008,0.0019869123571775726,0.8154568707646135
558,liv_001949_TEI.xml,0.3149845407264394,0.06812217697739412,4.7315241228923416E-5,0.014947845868369024,1.7098215336138808E-6,0.0019873809412793556,0.1209108699393756,1.463791312233493E-4,6.757641421295998E-5,0.4787842049389436
559,liv_001950_TEI.xml,0.06791740478400717,0.0658617283537439,7.518139703366674E-5,0.003291643255311348,2.716815305947517E-6,2.3502994214709376E-4,0.04305749328865975,0.31297352317774013,1.0737532125167319E-4,0.5064779036647993
